"autoservicio","comuna","direccion","empresa","precio","region","tipoGasolina","ultimaModificacion"
"false","","Avda. Gonzalo Cerda/Azola 1330,Arica","SHELL","976.0","Arica y Parinacota","Gasolina 97","Thu Jun 24 10:08:28 PET 2021"
"false","","Avda. Manuel Castillo 2920,Arica","SHELL","976.0","Arica y Parinacota","Gasolina 97","Thu Jun 24 10:03:18 PET 2021"
"false","","BARROS ARANA 2931,Arica","LIPIGAS","395.0","Arica y Parinacota","GLP Vehicular","Thu Jun 24 07:56:43 PET 2021"
"false","","maipu 982,Arica","LIPIGAS","395.0","Arica y Parinacota","GLP Vehicular","Tue Jun 15 10:14:16 PET 2021"
"false","","Alejandro Azolas 2693,Arica","ABASTIBLE","397.0","Arica y Parinacota","GLP Vehicular","Thu Jun 17 16:40:31 PET 2021"
"false","","Barros Arana 3081,Arica","Uligas","417.0","Arica y Parinacota","GLP Vehicular","Thu May 07 12:34:14 PET 2020"
"false","","SAN MARTÍN 699,Arica","COPEC","787.0","Arica y Parinacota","Kerosene","Thu Jun 24 08:35:11 PET 2021"
"false","","AV. SIMON BOLIVAR 085 00,Arica","Sin Bandera","611.0","Arica y Parinacota","Petroleo Diesel","Wed Jun 09 15:55:05 PET 2021"
"false","","Punta Arenas 2044,Arica","BALTOLU","622.0","Arica y Parinacota","Petroleo Diesel","Thu Jun 24 12:16:50 PET 2021"
"false","","BARROS ARANA 3221,Arica","Sin Bandera","622.0","Arica y Parinacota","Petroleo Diesel","Thu Jun 24 19:17:14 PET 2021"
"false","","Ramï¿½n Barros Luco 2364,Arica","Sin Bandera","622.0","Arica y Parinacota","Petroleo Diesel","Thu Jun 24 10:12:57 PET 2021"
"false","","AV. SIMON BOLIVAR 085,Arica","Sin Bandera","641.0","Arica y Parinacota","Petroleo Diesel","Wed Jun 09 15:55:29 PET 2021"
"false",""," LUIS VALENTE ROSSI 1990,Arica","COPEC","657.0","Arica y Parinacota","Petroleo Diesel","Thu Jun 24 14:00:44 PET 2021"
"true","","DIEGO PORTALES 1115,Arica","COPEC","657.0","Arica y Parinacota","Petroleo Diesel","Thu Jun 24 08:52:26 PET 2021"
"false","","SAN MARTÍN 699,Arica","COPEC","660.0","Arica y Parinacota","Petroleo Diesel","Thu Jun 24 08:35:11 PET 2021"
"false","","General Velásquez 922,Arica","PETROBRAS","660.0","Arica y Parinacota","Petroleo Diesel","Thu Jun 24 10:02:12 PET 2021"
"false","","18 de Septiembre/Lastarria 1709,Arica","PETROBRAS","661.0","Arica y Parinacota","Petroleo Diesel","Thu Jun 24 09:29:02 PET 2021"
"false","","Panamericana Norte 3545,Arica","SHELL","661.0","Arica y Parinacota","Petroleo Diesel","Thu Jun 24 10:13:02 PET 2021"
"false","","AV. SANTIAGO ARATA 3190,Arica","COPEC","662.0","Arica y Parinacota","Petroleo Diesel","Thu Jun 24 07:05:19 PET 2021"
"false","","Valle de Lluta km. 38 1/2 0,Arica","ESTACION DE SERVICIO SANTA MARIA SPA","662.0","Arica y Parinacota","Petroleo Diesel","Thu Jun 24 14:09:42 PET 2021"
"false","","Avda. Manuel Castillo 2920,Arica","SHELL","662.0","Arica y Parinacota","Petroleo Diesel","Fri Jun 25 17:56:24 PET 2021"
"false","","AV. DIEGO PORTALES 1072,Arica","COPEC","663.0","Arica y Parinacota","Petroleo Diesel","Thu Jun 24 08:42:09 PET 2021"
"false","","PANAMERICANA SUR 2824,Arica","COPEC","663.0","Arica y Parinacota","Petroleo Diesel","Wed Jun 23 23:41:34 PET 2021"
"false","","18 DE SEPTIEMBRE 2401,Arica","COPEC","663.0","Arica y Parinacota","Petroleo Diesel","Thu Jun 24 07:08:38 PET 2021"
"false","","Av. Diego Portales 2462,Arica","PETROBRAS","663.0","Arica y Parinacota","Petroleo Diesel","Thu Jun 24 11:41:39 PET 2021"
"false","","AVDA. CAPITAN AVALOS 2220,Arica","PETROBRAS","663.0","Arica y Parinacota","Petroleo Diesel","Thu Jun 24 09:07:15 PET 2021"
"false","","Avda. Gonzalo Cerda/Azola 1330,Arica","SHELL","663.0","Arica y Parinacota","Petroleo Diesel","Thu Jun 24 10:08:28 PET 2021"
"false","","Valle de Azapa km 13.5 0,Arica","Sin Bandera","667.0","Arica y Parinacota","Petroleo Diesel","Thu Jun 24 13:29:03 PET 2021"
"true","","AVDA. SALVADOR ALLENDE 2345,Iquique","COPEC","923.0","Tarapacá","Gasolina 93","Thu Jun 24 16:11:54 PET 2021"
"true","","MANUEL RODRIGUEZ 1404,Iquique","COPEC","923.0","Tarapacá","Gasolina 93","Thu Jun 24 00:20:00 PET 2021"
"true","","Genaro Gallo 2361,Iquique","SHELL","923.0","Tarapacá","Gasolina 93","Thu Jun 24 10:03:47 PET 2021"
"false","","Cespedes Gonzalez 1685,Iquique","SHELL","926.0","Tarapacá","Gasolina 93","Thu Jun 24 10:12:28 PET 2021"
"true","","OHiggins 2280,Iquique","SHELL","927.0","Tarapacá","Gasolina 93","Thu Jun 24 09:54:02 PET 2021"
"false","","Manuel Rodrï¿½guez/Vivar 705,Iquique","SHELL","927.0","Tarapacá","Gasolina 93","Thu Jun 24 10:02:16 PET 2021"
"false","","VIVAR 402,Iquique","COPEC","929.0","Tarapacá","Gasolina 93","Thu Jun 24 07:20:57 PET 2021"
"false","","SITIO Nï¿½ 54-B, BARRIO INDUSTRIAL 54,Iquique","COPEC","929.0","Tarapacá","Gasolina 93","Wed Jun 23 23:40:25 PET 2021"
"true","","Salvador Allende 2102,Iquique","COPEC","929.0","Tarapacá","Gasolina 93","Wed Jun 23 23:30:55 PET 2021"
"false","","ANIBAL PINTO 1377,Iquique","COPEC","929.0","Tarapacá","Gasolina 93","Thu Jun 24 07:12:44 PET 2021"
"true","","Avda. Arturo Prat Chacon 1732,Iquique","COPEC","929.0","Tarapacá","Gasolina 93","Thu Jun 24 09:02:23 PET 2021"
"false","","Av. Arturo Prat 3415,Iquique","PETROBRAS","929.0","Tarapacá","Gasolina 93","Thu Jun 24 10:31:28 PET 2021"
"false","","Av. Arturo Prat 1656,Iquique","PETROBRAS","929.0","Tarapacá","Gasolina 93","Thu Jun 24 07:55:51 PET 2021"
"false","","Av. Tadeo Haenke 1808,Iquique","PETROBRAS","929.0","Tarapacá","Gasolina 93","Thu Jun 24 08:27:52 PET 2021"
"false","","Av. Salvador Allende esq. O'Higgins 0,Iquique","PETROBRAS","929.0","Tarapacá","Gasolina 93","Thu Jun 24 09:27:19 PET 2021"
"false","","Pedro Prado esq. Gómez Carreño 0,Iquique","PETROBRAS","929.0","Tarapacá","Gasolina 93","Thu Jun 24 11:31:06 PET 2021"
"true","","Avda. Arturo Prat 1850,Iquique","SHELL","929.0","Tarapacá","Gasolina 93","Thu Jun 24 09:53:42 PET 2021"
"false","","RUTA A-16 KM 32 / AVDA SANTA ROSA 0,Alto Hospicio","COPEC","929.0","Tarapacá","Gasolina 93","Thu Jun 24 08:21:53 PET 2021"
"false","","ALTO HOSPICIO, RUTA A 16 KM. 37,Alto Hospicio","COPEC","929.0","Tarapacá","Gasolina 93","Wed Jun 23 23:46:10 PET 2021"
"false","","Teniente Merino Correa 3945,Alto Hospicio","COPEC","929.0","Tarapacá","Gasolina 93","Wed Jun 23 23:38:37 PET 2021"
"false","","Av. Los aromos 3115,Alto Hospicio","PETROBRAS","929.0","Tarapacá","Gasolina 93","Thu Jun 24 07:14:40 PET 2021"
"false","","PANAMERICANA NORTE KM 1810,Pozo Almonte","COPEC","929.0","Tarapacá","Gasolina 93","Thu Jun 24 07:16:50 PET 2021"
"false","","AV. 27 DE ABRIL 00,Pica","COPEC","929.0","Tarapacá","Gasolina 93","Thu Jun 24 08:42:12 PET 2021"
"false","","Calle Comercio 53,Pozo Almonte","PETROBRAS","932.0","Tarapacá","Gasolina 93","Thu Jun 24 10:18:44 PET 2021"
"true","","AVDA. SALVADOR ALLENDE 2345,Iquique","COPEC","946.0","Tarapacá","Gasolina 95","Thu Jun 24 16:11:54 PET 2021"
"true","","MANUEL RODRIGUEZ 1404,Iquique","COPEC","946.0","Tarapacá","Gasolina 95","Thu Jun 24 00:20:00 PET 2021"
"true","","Genaro Gallo 2361,Iquique","SHELL","946.0","Tarapacá","Gasolina 95","Thu Jun 24 10:03:47 PET 2021"
"false","","Cespedes Gonzalez 1685,Iquique","SHELL","949.0","Tarapacá","Gasolina 95","Thu Jun 24 10:12:28 PET 2021"
"true","","Salvador Allende 2102,Iquique","COPEC","950.0","Tarapacá","Gasolina 95","Wed Jun 23 23:30:55 PET 2021"
"false","","Av. Salvador Allende esq. O'Higgins 0,Iquique","PETROBRAS","950.0","Tarapacá","Gasolina 95","Fri Jun 25 16:38:29 PET 2021"
"true","","OHiggins 2280,Iquique","SHELL","950.0","Tarapacá","Gasolina 95","Thu Jun 24 09:54:02 PET 2021"
"false","","Manuel Rodrï¿½guez/Vivar 705,Iquique","SHELL","950.0","Tarapacá","Gasolina 95","Thu Jun 24 10:02:16 PET 2021"
"false","","VIVAR 402,Iquique","COPEC","952.0","Tarapacá","Gasolina 95","Thu Jun 24 07:20:57 PET 2021"
"false","","SITIO Nï¿½ 54-B, BARRIO INDUSTRIAL 54,Iquique","COPEC","952.0","Tarapacá","Gasolina 95","Wed Jun 23 23:40:25 PET 2021"
"false","","ANIBAL PINTO 1377,Iquique","COPEC","952.0","Tarapacá","Gasolina 95","Thu Jun 24 07:12:44 PET 2021"
"true","","Avda. Arturo Prat Chacon 1732,Iquique","COPEC","952.0","Tarapacá","Gasolina 95","Thu Jun 24 09:02:23 PET 2021"
"false","","Av. Arturo Prat 3415,Iquique","PETROBRAS","952.0","Tarapacá","Gasolina 95","Thu Jun 24 10:31:28 PET 2021"
"false","","Av. Arturo Prat 1656,Iquique","PETROBRAS","952.0","Tarapacá","Gasolina 95","Thu Jun 24 07:55:51 PET 2021"
"false","","Av. Tadeo Haenke 1808,Iquique","PETROBRAS","952.0","Tarapacá","Gasolina 95","Thu Jun 24 08:27:52 PET 2021"
"false","","Pedro Prado esq. Gómez Carreño 0,Iquique","PETROBRAS","952.0","Tarapacá","Gasolina 95","Thu Jun 24 11:31:06 PET 2021"
"true","","Avda. Arturo Prat 1850,Iquique","SHELL","952.0","Tarapacá","Gasolina 95","Thu Jun 24 09:53:42 PET 2021"
"false","","RUTA A-16 KM 32 / AVDA SANTA ROSA 0,Alto Hospicio","COPEC","952.0","Tarapacá","Gasolina 95","Thu Jun 24 08:21:53 PET 2021"
"false","","ALTO HOSPICIO, RUTA A 16 KM. 37,Alto Hospicio","COPEC","952.0","Tarapacá","Gasolina 95","Wed Jun 23 23:46:10 PET 2021"
"false","","Teniente Merino Correa 3945,Alto Hospicio","COPEC","952.0","Tarapacá","Gasolina 95","Wed Jun 23 23:38:37 PET 2021"
"false","","Av. Los aromos 3115,Alto Hospicio","PETROBRAS","952.0","Tarapacá","Gasolina 95","Thu Jun 24 07:14:40 PET 2021"
"false","","PANAMERICANA NORTE KM 1810,Pozo Almonte","COPEC","952.0","Tarapacá","Gasolina 95","Thu Jun 24 07:16:50 PET 2021"
"false","","AV. 27 DE ABRIL 00,Pica","COPEC","952.0","Tarapacá","Gasolina 95","Thu Jun 24 08:42:12 PET 2021"
"false","","Calle Comercio 53,Pozo Almonte","PETROBRAS","958.0","Tarapacá","Gasolina 95","Thu Jun 24 10:18:44 PET 2021"
"true","","AVDA. SALVADOR ALLENDE 2345,Iquique","COPEC","967.0","Tarapacá","Gasolina 97","Thu Jun 24 16:11:54 PET 2021"
"true","","MANUEL RODRIGUEZ 1404,Iquique","COPEC","967.0","Tarapacá","Gasolina 97","Thu Jun 24 00:20:00 PET 2021"
"true","","Genaro Gallo 2361,Iquique","SHELL","967.0","Tarapacá","Gasolina 97","Thu Jun 24 10:03:47 PET 2021"
